,n1_field,n1_energy,n2_field,n2_energy
204,-79.57957957957959,-8.39401609471173e-25,-79.57957957957959,-9.336855073740645e-25
205,-79.47947947947948,-8.373814331114626e-25,-79.47947947947948,-9.314533480383194e-25
206,-79.37937937937939,-8.353633874761342e-25,-79.37937937937939,-9.29223479089464e-25
207,-79.27927927927928,-8.33347473846759e-25,-79.27927927927928,-9.269959020969245e-25
208,-79.17917917917919,-8.313336935040613e-25,-79.17917917917919,-9.247706186305028e-25
209,-79.07907907907908,-8.29322047728578e-25,-79.07907907907908,-9.22547630259719e-25
210,-78.97897897897899,-8.273125378011274e-25,-78.97897897897899,-9.203269385538113e-25
211,-78.87887887887888,-8.25305165001682e-25,-78.87887887887888,-9.181085450822054e-25
212,-78.77877877877879,-8.232999306100259e-25,-78.77877877877879,-9.158924514141394e-25
213,-78.67867867867866,-8.212968359063195e-25,-78.67867867867866,-9.136786591188513e-25
214,-78.57857857857859,-8.192958821696888e-25,-78.57857857857859,-9.114671697652967e-25
215,-78.47847847847848,-8.172970706794477e-25,-78.47847847847848,-9.092579849226197e-25
216,-78.37837837837839,-8.153004027146282e-25,-78.37837837837839,-9.070511061593058e-25
217,-78.27827827827828,-8.1330587955398e-25,-78.27827827827828,-9.048465350443109e-25
218,-78.17817817817819,-8.113135024758767e-25,-78.17817817817819,-9.026442731464027e-25
219,-78.07807807807808,-8.093232727585039e-25,-78.07807807807808,-9.004443220338787e-25
220,-77.97797797797799,-8.073351916797651e-25,-77.97797797797799,-8.982466832750366e-25
221,-77.87787787787788,-8.053492605175635e-25,-77.87787787787788,-8.960513584383619e-25
222,-77.77777777777779,-8.033654805490503e-25,-77.77777777777779,-8.93858349091964e-25
223,-77.67767767767768,-8.0138385305147075e-25,-77.67767767767768,-8.916676568037644e-25
224,-77.57757757757759,-7.994043793015997e-25,-77.57757757757759,-8.894792831417785e-25
225,-77.47747747747748,-7.97427060576118e-25,-77.47747747747748,-8.872932296734575e-25
226,-77.37737737737739,-7.954518981511424e-25,-77.37737737737739,-8.851094979668168e-25
227,-77.27727727727728,-7.934788933028835e-25,-77.27727727727728,-8.829280895890255e-25
228,-77.17717717717719,-7.915080473068939e-25,-77.17717717717719,-8.807490061075347e-25
229,-77.07707707707708,-7.89539361438914e-25,-77.07707707707708,-8.785722490893255e-25
230,-76.97697697697699,-7.87572836973744e-25,-76.97697697697699,-8.76397820101661e-25
231,-76.87687687687688,-7.8560847518637195e-25,-76.87687687687688,-8.742257207111458e-25
232,-76.77677677677679,-7.836462773513159e-25,-76.77677677677679,-8.720559524845732e-25
233,-76.67667667667668,-7.816862447429059e-25,-76.67667667667668,-8.698885169886417e-25
234,-76.57657657657658,-7.7972837863500145e-25,-76.57657657657658,-8.677234157893922e-25
235,-76.47647647647648,-7.777726803012743e-25,-76.47647647647648,-8.655606504533353e-25
236,-76.37637637637638,-7.7581915101502e-25,-76.37637637637638,-8.634002225462295e-25
237,-76.27627627627628,-7.738677920493458e-25,-76.27627627627628,-8.612421336340214e-25
238,-76.17617617617618,-7.71918604676889e-25,-76.17617617617618,-8.590863852823755e-25
239,-76.07607607607608,-7.699715901700047e-25,-76.07607607607608,-8.569329790565799e-25
240,-75.97597597597598,-7.680267498008599e-25,-75.97597597597598,-8.547819165222051e-25
241,-75.87587587587588,-7.660840848411513e-25,-75.87587587587588,-8.526331992441633e-25
242,-75.77577577577578,-7.641435965621997e-25,-75.77577577577578,-8.504868287873665e-25
243,-75.67567567567568,-7.622052862352316e-25,-75.67567567567568,-8.483428067166327e-25
244,-75.57557557557558,-7.602691551307213e-25,-75.57557557557558,-8.46201134596122e-25
245,-75.47547547547548,-7.583352045195194e-25,-75.47547547547548,-8.44061813990464e-25
246,-75.37537537537538,-7.564034356712536e-25,-75.37537537537538,-8.419248464635368e-25
247,-75.27527527527528,-7.544738498559282e-25,-75.27527527527528,-8.397902335791237e-25
248,-75.17517517517518,-7.525464483427949e-25,-75.17517517517518,-8.376579769011967e-25
249,-75.07507507507508,-7.506212324010114e-25,-75.07507507507508,-8.355280779927869e-25
250,-74.97497497497498,-7.486982032991713e-25,-74.97497497497498,-8.334005384172079e-25
251,-74.87487487487488,-7.4677736230558595e-25,-74.87487487487488,-8.31275359737491e-25
252,-74.77477477477478,-7.4485871068847265e-25,-74.77477477477478,-8.291525435162912e-25
253,-74.67467467467468,-7.429422497150143e-25,-74.67467467467468,-8.270320913161699e-25
254,-74.57457457457458,-7.410279806527701e-25,-74.57457457457458,-8.249140046991238e-25
255,-74.47447447447448,-7.391159047684526e-25,-74.47447447447448,-8.2279828522752605e-25
256,-74.37437437437438,-7.372060233287746e-25,-74.37437437437438,-8.206849344627152e-25
257,-74.27427427427428,-7.352983375996965e-25,-74.27427427427428,-8.185739539665002e-25
